mes,anio,diesel_diff
2,2001,-76576.19
3,2001,86033.88000000006
4,2001,-137814.26000000007
5,2001,114863.71000000002
6,2001,-54753.869999999995
7,2001,-195505.24
8,2001,161809.11
9,2001,-142206.19
10,2001,117036.60999999999
11,2001,1255.7999999999884
12,2001,39737.92000000004
1,2002,20058.04999999999
2,2002,186882.50999999995
3,2002,-254385.36999999994
4,2002,-7871.100000000035
5,2002,73114.29999999999
6,2002,-955.039999999979
7,2002,139901.21999999997
8,2002,-290502.83999999997
9,2002,292708.22
10,2002,64816.590000000084
11,2002,-130460.31000000006
12,2002,105460.14000000001
1,2003,118594.73999999999
2,2003,-31431.719999999972
3,2003,-71970.34999999998
4,2003,179160.78999999992
5,2003,-247913.02000000002
6,2003,46692.75
7,2003,150131.7200000001
8,2003,-327927.42000000004
9,2003,120826.55000000005
10,2003,-181828.69000000006
11,2003,194104.79000000004
12,2003,118335.09999999998
1,2004,16860.56999999995
2,2004,-301437.94999999995
3,2004,311180.76
4,2004,37066.689999999944
5,2004,-174985.30999999994
6,2004,-172827.85000000003
7,2004,5772.520000000019
8,2004,202308.22000000003
9,2004,44577.31999999995
10,2004,-58324.79999999993
11,2004,70982.82999999996
12,2004,54568.72999999998
1,2005,-118207.81999999995
2,2005,20605.599999999977
3,2005,94980.67999999993
4,2005,-70480.32999999996
5,2005,166922.88
6,2005,165929.09999999998
7,2005,-270284.98
8,2005,44703.45999999996
9,2005,-585670.46
10,2005,442084.19999999995
11,2005,-36295.47999999998
12,2005,577057.0700000001
1,2006,-503879.69000000006
2,2006,58979.79000000004
3,2006,-22988.69000000006
4,2006,190584.64
5,2006,-112750.13
6,2006,-461348.8599999999
7,2006,610509.1299999999
8,2006,-367969.39
9,2006,-130316.01999999996
10,2006,747288.3299999998
11,2006,-788844.7799999999
12,2006,458461.82000000007
1,2007,-72276.1100000001
2,2007,4265.0800000000745
3,2007,-252873.80000000005
4,2007,280686.26
5,2007,-56251.06999999995
6,2007,61870.09999999998
7,2007,262675.11
8,2007,-294384.78
9,2007,-327038.62999999995
10,2007,388916.01999999996
11,2007,-220810.03000000003
12,2007,147661.76
1,2008,-198957.26
2,2008,-112897.09999999998
3,2008,594821.1200000001
4,2008,-413701.28000000014
5,2008,28422.69000000006
6,2008,107340.07999999996
7,2008,-276318.68999999994
8,2008,172164.37
9,2008,-169128.97999999998
10,2008,-200248.52000000002
11,2008,465166.4
12,2008,-285401.00000000006
1,2009,417497.29
2,2009,-27476.30999999994
3,2009,-20585.599999999977
4,2009,-76633.78000000003
5,2009,-195500.08999999997
6,2009,113920.57999999996
7,2009,115546.38
8,2009,-8064.719999999972
9,2009,-230775.95000000007
10,2009,257400.09000000008
11,2009,24943.56999999995
12,2009,250650.7799999999
1,2010,-239157.0099999999
2,2010,-458531.73000000004
3,2010,500430.96
4,2010,-334691.67000000004
5,2010,473024.94999999995
6,2010,-498207.8999999999
7,2010,125061.67000000004
8,2010,-75637.64000000001
9,2010,104469.13
10,2010,-111028.85999999999
11,2010,-65065.02000000002
12,2010,569666.3799999999
1,2011,-101345.22999999998
2,2011,-261173.11
3,2011,-65239.2699999999
4,2011,59909.04999999993
5,2011,151495.07999999996
6,2011,-365057.0199999999
7,2011,181075.12
8,2011,279365.74
9,2011,-218769.57000000007
10,2011,-183421.44999999995
11,2011,-36726.78000000003
12,2011,157514.55000000005
1,2012,57202.19999999995
2,2012,97840.75
3,2012,90729.31000000006
4,2012,-280822.01
5,2012,135498.80999999994
6,2012,-66245.43999999994
7,2012,254871.25
8,2012,-395289.67000000004
9,2012,-7054.959999999963
10,2012,-156596.5
11,2012,75498.12
12,2012,786228.07
1,2013,-575514.2799999999
2,2013,-39423.66000000003
3,2013,122784.54999999993
4,2013,27467.21000000008
5,2013,342093.07000000007
6,2013,-472475.9700000001
7,2013,-36551.380000000005
8,2013,-188027.06
9,2013,298493.54
10,2013,176701.0
11,2013,-77109.51000000001
12,2013,-111519.57999999996
1,2014,803999.67
2,2014,-906995.38
3,2014,458479.31999999995
4,2014,-302131.17000000004
5,2014,163096.74
6,2014,-313227.3899999999
7,2014,150955.17999999993
8,2014,-85522.48999999999
9,2014,-162207.47999999998
10,2014,164617.34999999998
11,2014,271109.92000000004
12,2014,-29840.51000000001
1,2015,320389.30999999994
2,2015,-369135.93999999994
3,2015,209599.94999999995
4,2015,-34015.179999999935
5,2015,-176088.04000000004
6,2015,-92710.97999999998
7,2015,287558.6599999999
8,2015,-230344.5299999999
9,2015,-165217.13
10,2015,409357.17999999993
11,2015,-258725.5299999999
12,2015,209175.86
1,2016,-126368.5
2,2016,179720.17999999993
3,2016,331616.99
4,2016,-361631.84999999986
5,2016,-101669.02000000014
6,2016,-235321.54999999993
7,2016,59000.08999999997
8,2016,-158036.87
9,2016,572942.56
10,2016,-346204.81000000006
11,2016,29732.550000000047
12,2016,346079.73
1,2017,-460742.29000000004
2,2017,1683.4899999999907
3,2017,507110.93999999994
4,2017,54234.51000000001
5,2017,-516095.56999999995
6,2017,12732.140000000014
7,2017,91679.30000000005
8,2017,-147641.95000000007
9,2017,78701.52000000002
10,2017,-185199.30000000005
11,2017,395151.53000000014
12,2017,169697.44999999995
1,2018,-151215.66000000015
2,2018,-232147.7699999999
3,2018,-32457.02000000002
4,2018,-192264.32999999996
5,2018,895617.5700000001
6,2018,-814900.43
7,2018,16003.5
8,2018,487681.37
9,2018,-385098.35
10,2018,96415.60999999999
11,2018,-93093.70000000007
12,2018,-107389.67999999993
1,2019,403529.5399999999
2,2019,12747.959999999963
3,2019,341576.68000000017
4,2019,-334843.79000000004
5,2019,-203336.18000000005
6,2019,17228.030000000028
7,2019,27468.21000000008
8,2019,110987.7799999998
9,2019,-450066.8699999999
10,2019,443080.8300000001
11,2019,-37580.16000000015
12,2019,-24018.300000000047
1,2020,-99791.18999999994
2,2020,237837.17000000016
3,2020,130316.76999999979
4,2020,-532968.6199999999
5,2020,-143300.08000000007
6,2020,375081.6100000001
7,2020,-286217.4800000001
8,2020,11327.619999999995
9,2020,230102.64
10,2020,-130020.14000000001
11,2020,261568.82000000007
12,2020,-102348.67999999993
1,2021,135084.1299999999
2,2021,-108820.29000000004
3,2021,268285.51
4,2021,-94938.59999999986
5,2021,28845.659999999916
6,2021,161089.22999999998
7,2021,-329696.93999999994
8,2021,65551.10999999987
9,2021,-279421.3999999999
10,2021,645934.3300000001
11,2021,-512692.77
12,2021,264261.51
1,2022,144528.96999999997
2,2022,-221075.96999999997
3,2022,29479.810000000056
4,2022,37478.60999999987
5,2022,22333.040000000037
6,2022,-274716.24
7,2022,84478.43999999994
8,2022,183361.99
9,2022,-222393.06000000006
10,2022,-96990.81999999995
11,2022,156233.4700000001
12,2022,-54652.91000000015
1,2023,359991.4400000002
2,2023,-174131.69000000018
3,2023,49552.52000000002
4,2023,99662.82000000007
5,2023,10916.89000000013
